idvessel,GID,VSL,IMO_No,VOY,Corrected_Date,REPORT_DATE_TIME,REPORT_DATE_TIME_Offset,Report_Type,Status,LAT,LONG_,LATITUDE,LONGITUDE,M_E_FOC,CARGO_TOTAL,Has_Cargo,TOTAL_STEAMING_TIME,M_E_Fuel_Only_Steaming_Time,MILES_BY_GPS,OIL_CYL,SOW,SOG,RPM,SLIP,WIND_DIRECTION,WIND_SPEED,DRAFT_AFT,DRAFT_FWD,DISPLACEMENT,COURSE_AT_SEA,WAVE_HEIGHT,SEA_DIRECTION,CARGO_TOTAL_TEU,AMBIENT_TEMP,SW_TEMP,MILES_BY_SPEED_LOG,ETA_PORT_CODE,ETA_DATE_TIME,ETA_DATE_TIME_Offset,ETA_PORT,TIME_CHANGE,TIME_SEA,TEMP_MIN,TEMP_MAX,REQUESTED_SPEED,REM_DIST_TO_PILOT,REM_TIME_TO_PILOT,TOTAL_UNPLND_STPGE_TECH,TOTAL_UNPLND_STPGE_OPE_WX,REEFERS_POSITIVE_PLUGGED,REEFERS_NEGATIVE_PLUGGED,ME_TOTAL_REVS_COUNTER,PORT_CODE,PORT,AUX_BLOWERS_ON,HOLD_VENTILATION_ON,SINCE_DATE_TIME,SINCE_DATE_TIME_Offset,TIME_HRS_ANCHOR,TIME_HRS_DRIFT,REASON,TYPE_OF_DELAY,ETB_DATE_TIME,ETB_DATE_TIME_Offset,PILOT_DATE_TIME,PILOT_DATE_TIME_Offset,TIME_MANOEUVRING,TUG_ARR,TUG_SHIFT,ETD_DATE_TIME,ETD_DATE_TIME_Offset,SHIFT_BERTH_HOURS,CARGO_LOAD,CARGO_DISCH,TEU_FULL,TEU_EMPTY,BILGE_REMOVED,GARBAGE_REMOVED,GARBAGE_REMVL_REQSTD,GARBAGE_REMVL_CMPLSRY,FW_SUPPLY,CY_CREW_SIGNED_ON,CY_CREW_SIGNED_OFF,CY_DOCTORS_VISIT,CY_MAIL_RECEIVED_Ref_NO,CY_LUB_OIL_SAMPLE_LANDED,CY_CHECKD_FOR_STOWAWAYS,CY_STOWAWAYS_ON_BOARD,CY_DEP_GM_Mtr,CY_REQUISITIONS_RECEIVED,DISTANCE_TO_NEXT_PILOT,TUG_SAILING_TRANSIT,STEAMING_TIME_M_E_Rsdl_VLS,STEAMING_TIME_M_E_Rsdl_HS,STEAMING_TIME_M_E_Rsdl_ULS,STEAMING_TIME_M_E_Dstlt_VLS,STEAMING_TIME_M_E_Dstlt_ULS,STEAMING_TIME_M_E_Tnktnr_Dstlt_VLS,STEAMING_TIME_M_E_HS,STEAMING_TIME_M_E_LS,STEAMING_TIME_M_E_MDO,STEAMING_TIME_M_E_MGO,STEAMING_TIME_M_E_MGO_LS,STEAMING_TIME_AUX_1,STEAMING_TIME_AUX_2,STEAMING_TIME_AUX_3,STEAMING_TIME_AUX_4,STEAMING_TIME_AUX_5,STEAMING_TIME_SH_GEN,STEAMING_TIME_TG,POWER_kW,STEAMING_LOAD_KW_AUX_1,STEAMING_LOAD_KW_AUX_2,STEAMING_LOAD_KW_AUX_3,STEAMING_LOAD_KW_AUX_4,STEAMING_LOAD_KW_AUX_5,STEAMING_LOAD_KW_SH_GEN,STEAMING_LOAD_KW_TG,FUEL_M_E_Rsdl_VLS,FUEL_M_E_Rsdl_HS,FUEL_M_E_Rsdl_ULS,FUEL_M_E_Dstlt_VLS,FUEL_M_E_Dstlt_ULS,FUEL_M_E_Tnktnr_Dstlt_VLS,FUEL_M_E_HS,FUEL_M_E_LS,FUEL_M_E_MDO,FUEL_M_E_MGO,FUEL_M_E_MGO_LS,FUEL_Aux_Rsdl_VLS,FUEL_Aux_Rsdl_HS,FUEL_Aux_Rsdl_ULS,FUEL_Aux_Dstlt_VLS,FUEL_Aux_Dstlt_ULS,FUEL_Aux_Tnktnr_Dstlt_VLS,FUEL_AUX_HS,FUEL_AUX_LS,FUEL_AUX_MDO,FUEL_AUX_MGO,FUEL_AUX_MGO_LS,FUEL_Boiler_Rsdl_VLS,FUEL_Boiler_Rsdl_HS,FUEL_Boiler_Rsdl_ULS,FUEL_Boiler_Dstlt_VLS,FUEL_Boiler_Dstlt_ULS,FUEL_Boiler_Tnktnr_Dstlt_VLS,FUEL_BOILER_HS,FUEL_BOILER_LS,FUEL_BOILER_MDO,FUEL_BOILER_MGO,FUEL_BOILER_MGO_LS,DECK_LAST_CHANGE_USER,ENGINE_LAST_CHANGE_USER,DECK_PART_IS_COMPLETE,ENGINE_PART_IS_COMPLETE,SCAVENGE_PRESSURE,SECA_ENTRY_TIME,SECA_ENTRY_LAT,SECA_ENTRY_LONG,SECA_EXIT_TIME,SECA_EXIT_LAT,SECA_EXIT_LONG,ROB_FRESH_WATER,MANVRNG_MILES_BY_GPS,MANVRNG_MILES_BY_SPEED_LOG,TANKTAINER_TRANSFD_QUANTITY,PILOT_TAKEN,DATE_TIME_START_TRANSIT,DATE_TIME_START_TRANSIT_Offset,DATE_TIME_END_TRANSIT,DATE_TIME_END_TRANSIT_Offset,BALLAST,TANKTAINER_NUMBER,STEAMING_KWHR_TOTAL,CY_OTHERS,ROB_FO_SLUDGE,ROB_LO_SLUDGE,ROB_BILGE,SLUDGE_REMOVED_FO,SLUDGE_REMOVED_LO,SEA_STATE,CY_LUB_ADDED_TO_SYSTEM_MECC,CY_LUB_ADDED_TO_SYSTEM_AECC,CY_LUB_ADDED_TO_THRUSTERS,CY_ME_LO_PURIFIER_IN_USE,CY_BALLAST,CY_BENDING_MOMENT,CY_SHEARING_FORCE,CY_TORTION_MOMENT,CY_SUPDT_AUDITOR_SIGNED_ON,CY_SUPDT_AUDITOR_SIGNED_OFF,CY_CASH_RECEIVED,CY_LUB_OIL_RECEIVED_MECYL,CY_LUB_OIL_RECEIVED_MECC,CY_LUB_OIL_RECEIVED_AECC,CY_M_E_UNDER_PISTON_TEMP,CY_MAIL_RECEIVED,WIND_DIRECTION_PORT_STBD,SEA_DIRECTION_PORT_STBD,TIME_PILOT_ONBOARD,GRADES_ROB,SO2_CO2_RATIO,Bunker_Order,Remarks,Fuel_Type,Carbon_Factor,Sulphur_Content_PC,Quantity,Port_Delivery,Product_Quality,Tanktainer_Number_1,Supplier,Delivery,Vol_Lt,Den,Vis,ROB_Dstlt_ULS,ROB_Dstlt_VLS,ROB_Rsdl_MDO,ROB_Tnktnr_Dstlt_VLS,ROB_Rsdl_VLS,ROB_Rsdl_HS,ROB_Rsdl_ULS,ROB_Fuel_HSFO,ROB_Fuel_LSFO,ROB_Fuel_MDO,ROB_Fuel_MGO,ROB_Fuel_MGO_LS,ROB_Fuel_Tanktainer_MGO,ECA_MILES,ECA_TIME,EGCS_DRY_WASTE_REMOVED,EGCS_RUNNING_TIME,EGCS_WET_SLURRY_REMOVED,EGCS_OPEN_LOOP_RUNNING_TIME,EGCS_CLOSED_LOOP_RUNNING_TIME,Voyage_Order,Voyage_Code,ECA,EU,Sea_Time,ETA_Country_Code,Port_Country_Code,check_ETA_code,check_Port_code,Status_TEMP_EU,FUEL_HS,FUEL_LS,FUEL_MDO,FUEL_MGO,FUEL_MGO_LS,Cargo_Transport_Work,TEU_Transport_Work,EEOI_Voyage_no,CARGO_TOTAL_Old,DRAFT,FO_per_24Hrs,SFOC,CY_OIL_gm_hr,SCOC,Voyage_Name,TOTAL_FO,TOTAL_CO2,EEOI,voyCondition,samedate,timesincelastreport,BDN,Wind_direction_360,True_wind_speed,True_wind_dir,ref_power,ref_fuel,fuel_loss,Relative_wind_speed,Relative_wind_direction,CAA,RW,Corrected_Power,draft_pow,draft_sp_pow,fo_nor,fo_model,sfoc_model,sfoc_deviation,ref_power_corrected,ref_FO_corrected,Propulsive_eff,speed_performance,Ref_speed,P_I,MEcon,AEcon,BLcon,Tcon,HS,LS,MDO,MGO,MGOLS,TCO2,AETsteaming,AEPOWER,TRIM,DISTANCECOVERED,updated_date,hyd_slip_sog,hyd_slip_stw,FUEL_Rsdl_HS,FUEL_Rsdl_VLS,FUEL_Rsdl_ULS,FUEL_Dstlt_VLS,FUEL_Dstlt_ULS,FUEL_Tnktnr_Dstlt_VLS,Rsdl_HS,Rsdl_VLS,Rsdl_ULS,Dstlt_VLS,Dstlt_ULS,Tnktnr_Dstlt_VLS
WVEY,4deec51e-9ff0-4a2c-a57d-bc003f3cfdaf,WEC VAN EYCK,9365984,EK046A,12/11/2020 00:00,12/11/2020 00:54,UTC +00:00,SAIL,IN PORT,,,,,0,4101,TRUE,NULL,NULL,0,0,0,0,0,0,0,0,6.5,5.35,10737,0,0,0,415,,,,PTLEI,44147.66667,UTC +00:00,LEIXOES,,100,,,,,,0,0,0,0,0,PTSET,SETUBAL,FALSE,FALSE,,,,,,,,,,,,,0,,,,3620,2353,335,80,0,,FALSE,FALSE,0,0,0,No,0,0,Yes,No,1.94,0,,,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0.6,0,0,0,0,0,0.6,,,TRUE,TRUE,,,,,,,,105,0,,0,FALSE,,,,,1473,,0,,,,2.5,,,,0,0,0,1,,71,63,18,0,0,0,0,0,0,,FALSE,,,,,0,,,,,,,,,,,,,,,111.39,0,0,0,0,0,0,0,0,0,0,111.39,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,0,PT,PT,NULL,NULL,0,0,0,0,0,1.67,0,0,100,0,5.925,0,0,0,0,0,1.67,5.35402,0,Laden,0,NULL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.6,1.67,0,0,0,0,1.67,5.35,12.9,237,1.15,0,24/03/2022 08:44,NULL,NULL,0,0,0,0,1.67,0,0,0,0,0,1.67,0
WVEY,d5bcff04-5965-4ed7-958e-18f49f9a9b88,WEC VAN EYCK,9365984,EK046A,12/11/2020 00:00,12/11/2020 01:48,UTC +00:00,COSP,DRIFTING,3826N,00859W,38.43333333,-8.983333333,0.52,4101,TRUE,NULL,NULL,7.4,0,0,0,0,0,20,5,6.5,5.35,10737,218,0.14,20,415,17,13,,PTLEI,12/11/2020,UTC +00:00,LEIXOES,,0.9,,,15.5,,,0,0,0,0,0,PTSET,SETUBAL,FALSE,FALSE,,,,,,,,,,,0.6,,,,,,,,335,80,,,FALSE,FALSE,,,,,,,,,,,201.5,0,0.9,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0,0,0,2900,345,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,1.8,,,,,,,105,7.4,7.4,,TRUE,,,,,1473,,311,,,,2.5,,,2,0,0,0,1,,,,,,,,,,,,FALSE,S,S,0.8,,0,,,,,,,,,,,,,,,111.27,0,0,0,274.07,0,0,0,274.07,0,0,111.27,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,0.9,PT,PT,NULL,NULL,0,0,0.52,0,0,0.12,30347.4,3071,101,0,5.925,13.8667,199.234,0,0,0,0.64,2.004,0,Laden,0,NULL,NO,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.12,0,0.64,0,0.52,0,0,0.12,2,0.9,345,1.15,7.4,24/03/2022 08:43,NULL,NULL,0,0.52,0,0,0.12,0,0,0.52,0,0,0.12,0
WVEY,ad1e4d16-b5ef-4a13-b990-a96affeeec9c,WEC VAN EYCK,9365984,EK046A,12/11/2020 00:00,12/11/2020 12:00,UTC +00:00,NOON,AT SEA,4023N,00913W,40.38333333,-9.216666667,9.81,4101,TRUE,NULL,NULL,151.3,0,0,0,0,0,30,8,6.5,5.35,10737,25,0.44,153.16,415,17,13,151.3,PTLEI,12/11/2020,UTC +00:00,LEIXOES,,10.2,358,373,15,50.4,4,0,0,0,0,0,PTSET,SETUBAL,FALSE,FALSE,,,,,,,,,,,,,,,,,,,335,80,,,FALSE,FALSE,,,,,,,,,,,,,10.2,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,10.2,0,4850,0,0,0,0,0,225,0,9.81,0,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,2.6,,,,,,,104,0,,,FALSE,,,,,1473,,0,,,,2.5,,,2,0,0,0,1,,,,,,,,,,,,FALSE,S,S,,,0,,,,,,,,,,,,,,,0,0,0,0,264.26,0,0,0,264.26,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,10.2,PT,PT,NULL,NULL,0,0,9.81,0,0,0,620481,62789.5,101,0,5.925,23.0824,198.302,0,0,0,9.81,30.5483,0,Laden,0,NULL,NO,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,9.81,0,9.81,0,0,0,30.55,0,0,1.15,151.3,24/03/2022 08:44,NULL,NULL,0,9.81,0,0,0,0,0,9.81,0,0,0,0
WVEY,aa6db1ea-7bbc-41f2-9986-fa5f4c24a3dd,WEC VAN EYCK,9365984,EK046A,13/11/2020 00:00,12/11/2020 15:30,UTC +00:00,EOSP,AT SEA,4106N,00847W,41.1,-8.783333333,2.68,4101,TRUE,NULL,NULL,47.1,0,0,0,154,0,30,8,6.5,5.35,10737,25,0.33,148.51,415,20,13,47.1,,44147.66667,UTC +00:00,,,3.5,312,337,15,,,0,0,0,0,0,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,44147.85,UTC +00:00,,,,,,,,,,,335,80,,,FALSE,FALSE,,,,,,,,,,,,,3.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,3.5,0,3850,0,0,0,0,0,225,0,2.68,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,0.8,,,,,,,104,0,,,FALSE,,,,,1473,,0,,,,2.5,,,2,0,0,0,1,,,,,,,,,,,,FALSE,P,P,,,0,,,,,,,,,,,,,,,0,0,0,0,261.58,0,0,0,261.58,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,3.5,PT,PT,NULL,NULL,0,0,2.68,0,0,0,193157,19546.5,101,0,5.925,18.3771,198.887,0,0,0,2.68,8.34552,0,Laden,0,NULL,NO,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,0,2.68,0,0,0,8.35,0,0,1.15,47.1,24/03/2022 08:43,NULL,NULL,0,2.68,0,0,0,0,0,2.68,0,0,0,0
WVEY,c1584f05-d139-403a-b77a-18ee7147765a,WEC VAN EYCK,9365984,EK046A,13/11/2020 00:00,12/11/2020 20:24,UTC +00:00,BRTH,DRIFTING,4106N,00847W,41.1,-8.783333333,1.83,4101,TRUE,NULL,NULL,21.1,0,0,0,0,0,0,0,6.5,5.35,10737,0,0,0,415,20,13,,,12/11/2020,UTC +00:00,,,4.9,312,337,15,,,0,0,0,0,0,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,12/11/2020,UTC +00:00,44147.79167,UTC +00:00,4.9,0,0,13/11/2020,UTC +00:00,,,,335,80,,,FALSE,FALSE,,,,,,,,,,,,,4.9,0,0,0,0,0,0,4.9,0,0,0,1.5,0,0,0,0,3.4,0,1900,240,0,0,0,0,225,0,1.83,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,,,,,,,,104,21.1,21.1,,FALSE,,,,,1473,,1125,,,,2,,,0,0,0,0,1,,,,,,,,,,,,FALSE,,,,,0,,,,,,,,,,,,,,,111.15,0,0,0,259.75,0,0,0,259.75,0,0,111.15,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,4.9,PT,PT,NULL,NULL,0,0,1.83,0,0,0.12,86531.1,8756.5,101,0,5.925,8.96327,196.563,0,0,0,1.95,6.08334,0,Laden,0,NULL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0.12,0,1.95,0,1.83,0,0,0.12,6.08,1.5,240,1.15,21.1,24/03/2022 08:43,NULL,NULL,0,1.83,0,0,0.12,0,0,1.83,0,0,0.12,0
WVEY,448b13c7-3f29-406f-bdd8-fa7a551c2069,WEC VAN EYCK,9365984,EK046A,13/11/2020 00:00,13/11/2020 12:00,UTC +00:00,PORT,IN PORT,4106N,00847W,41.1,-8.783333333,0,4101,TRUE,NULL,NULL,0,0,0,0,0,0,0,0,6.5,5.35,10737,0,0,0,415,21,13,,,12/11/2020,UTC +00:00,,,15.6,312,337,15,,,0,0,0,0,0,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,12/11/2020,UTC +00:00,,,,,,13/11/2020,UTC +00:00,,,,335,80,,,FALSE,FALSE,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,1.29,0,0,0,0,0.79,0,0,0,0,0,0.79,,,TRUE,TRUE,,,,,,,,104,0,,,FALSE,,,,,1473,,3686,,,,2.5,,,0,0,0,0,1,,,,,,,,,,,,FALSE,,,,,0,,,,,,,,,,,,,,,109.07,0,0,0,0,0,0,0,0,0,0,109.07,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,PTSET-PTLEI,N,Y,0,PT,PT,NULL,NULL,0,0,0,0,0,2.08,0,0,101,0,5.925,0,0,0,0,0,2.08,6.66848,0,Laden,0,NULL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.79,2.08,0,0,0,0,2.08,6.67,15.6,307,1.15,0,26/05/2021 13:42,NULL,NULL,0,0,0,0,2.08,0,0,0,0,0,2.08,0
WVEY,35c4bb92-2a91-4e26-884c-f77d630a2b45,WEC VAN EYCK,9365984,EK046A,14/11/2020 00:00,13/11/2020 13:54,UTC +00:00,SAIL,IN PORT,4106N,00847W,41.1,-8.783333333,0,5919,TRUE,NULL,NULL,0,0,0,0,0,0,0,0,7.1,6.3,12555,0,0,0,466,21,13,,GBLIV,44151.00069,UTC +00:00,LIVERPOOL,,1.9,312,337,15,,,0,0,0,0,0,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,44147.85,UTC +00:00,,,,,0,44148.58333,UTC +00:00,,2299,481,466,0,0,,FALSE,FALSE,0,1,1,No,0,0,Yes,No,1.16,0,,,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.16,0,0,0,0,0.1,0,0,0,0,0,0.1,,,TRUE,TRUE,,,,,,,,104,0,,0,FALSE,,,,,1473,0,466,,,,2.5,,,0,0,0,0,1,,50,52,28,0,0,5000,0,0,0,,FALSE,,,,,0,,,,,,,,,,,,,,,108.81,0,0,0,0,0,0,0,0,0,0,108.81,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,PTLEI-GBLIV,N,Y,0,GB,PT,NULL,NULL,0,0,0,0,0,0.26,0,0,101,0,6.7,0,0,0,0,0,0.26,0.83356,0,Laden,0,NULL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.1,0.26,0,0,0,0,0.26,0.83,1.9,245,0.8,0,26/05/2021 13:42,NULL,NULL,0,0,0,0,0.26,0,0,0,0,0,0.26,0
WVEY,cbf01712-c8ce-4fd9-9dcf-c4a75666e76d,WEC VAN EYCK,9365984,EK046A,14/11/2020 00:00,13/11/2020 14:48,UTC +00:00,COSP,DRIFTING,4110N,00843W,41.16666667,-8.716666667,0.42,5919,TRUE,NULL,NULL,2.9,0,0,0,0,0,5,2,7.1,6.3,12555,330,0.02,5,466,22,13,,GBLIV,16/11/2020,UTC +00:00,LIVERPOOL,,0.9,312,337,15,,,0,0,0,0,0,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,44147.85,UTC +00:00,,,0.4,,,44148.58333,UTC +00:00,,,,466,0,,,FALSE,FALSE,,,,,,,,,,,850,0,0.9,0,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0,0,0,2400,250,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0.02,,,TRUE,TRUE,2.1,,,,,,,104,2.9,2.9,,TRUE,,,,,1473,0,225,,,,2.5,,,1,0,0,0,1,,,,,,,,,,,,FALSE,S,S,0.9,,0,,,,,,,,,,,,,,,108.71,0,0,0,259.33,0,0,0,259.33,0,0,108.71,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,PTLEI-GBLIV,N,Y,0.9,GB,PT,NULL,NULL,0,0,0.42,0,0,0.1,17165.1,1351.4,102,0,6.7,11.2,194.444,0,0,0,0.52,1.62848,0,Laden,0,NULL,NO,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.08,0.02,0.52,0,0.42,0,0,0.1,1.63,0.9,250,0.8,2.9,24/03/2022 08:43,NULL,NULL,0,0.42,0,0,0.1,0,0,0.42,0,0,0.1,0
WVEY,f04c7ade-f9bf-497c-b88d-58ff9437be56,WEC VAN EYCK,9365984,EK046A,14/11/2020 00:00,14/11/2020 12:00,UTC +00:00,NOON,AT SEA,4601N,00826W,46.01666667,-8.433333333,19.87,5919,TRUE,NULL,NULL,314.6,0,0,0,154,0,120,25,7.1,6.3,12555,18,6.87,141.62,466,17,13,314.6,GBLIV,16/11/2020,UTC +00:00,LIVERPOOL,,21.2,355,375,15,520.2,36,0,0,0,0,636000,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,12/11/2020,UTC +00:00,,,,,,13/11/2020,UTC +00:00,,,,466,0,,,FALSE,FALSE,,,,,,,,,,,,,21.2,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,21.2,0,4750,0,0,0,0,0,225,0,19.87,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,2.6,,,,,,,104,0,,,FALSE,,,,,1473,0,0,,,,2.5,,,7,0,0,0,1,,,,,,,,,,,,FALSE,P,P,,,0,,,,,,,,,,,,,,,0,0,0,0,239.46,0,0,0,239.46,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,PTLEI-GBLIV,N,Y,21.2,GB,PT,NULL,NULL,0,0,19.87,0,0,0,1862120,146604,102,0,6.7,22.4943,197.319,0,0,0,19.87,61.8752,0,Laden,0,NULL,NO,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,19.87,0,19.87,0,0,0,61.88,0,0,0.8,314.6,24/03/2022 08:44,NULL,NULL,0,19.87,0,0,0,0,0,19.87,0,0,0,0
WVEY,e0700861-e815-4c0f-9242-3a0ebfa8dd0a,WEC VAN EYCK,9365984,EK046A,15/11/2020 00:00,15/11/2020 12:00,UTC +00:00,NOON,AT SEA,5127N,00556W,51.45,-5.933333333,22.33,5919,TRUE,NULL,NULL,343,0,0,0,154,0,90,25,7.1,6.3,12555,17,4.68,119.76,466,10,10,343,GBLIV,16/11/2020,UTC +00:00,LIVERPOOL,,24,354,372,15,178.9,12.7,0,0,0,0,720000,PTLEI,LEIXOES,FALSE,FALSE,,,,,,,12/11/2020,UTC +00:00,,,,,,13/11/2020,UTC +00:00,,,,466,0,,,FALSE,FALSE,,,,,,,,,,,,,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,4700,0,0,0,0,0,225,0,22.33,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,TRUE,TRUE,2.6,,,,,,,104,0,,,FALSE,,,,,1473,0,0,,,,2.5,,,6,0,0,0,1,,,,,,,,,,,,FALSE,P,P,,,0,,,,,,,,,,,,,,,0,0,0,0,217.13,0,0,0,217.13,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,PTLEI-GBLIV,N,Y,24,GB,PT,NULL,NULL,0,0,22.33,0,0,0,2030220,159838,102,0,6.7,22.33,197.961,0,0,0,22.33,69.5356,0,Laden,0,NULL,NO,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,0,0,22.33,0,22.33,0,0,0,69.54,0,0,0.8,343,24/03/2022 08:44,NULL,NULL,0,22.33,0,0,0,0,0,22.33,0,0,0,0
