COLUMNS,VALUE
Vessel Type,Container
Length OA,260.049
Year Built,2005
Length B.P,244.8
TEU,4250
Breadth Extreme,
TEU 14T,
Breadth Moulded,32.25
Maximum Speed,
Depth Extreme,
Depth Moulded,19.3
Endurance,
Air Draft (Summer),
Draft Design,11
Draft Scantling,12.6
Keel to Mast (KIM),
Displacement Scantling,67088.3
Collapsible Mast?,
Summer DWT(Latest),50793.7
Keel To Mast Height After Tilting,
Summer DWT(Original),
Bridge to Bow,
Lightship,16481.2
Bridge to Stern,
Design Speed @ design draft,
Segment,
Design Speed @ scantling draft,
Trade,
Alphaliner Class,
EEDI,
OHSAS Compliance?,
EIV,
Bulbous Bow,
Complement,
Builder,Samsung Heavy Industries
City,
Country,
Hull No.,
Built Name,
Date of Keel Laying,
Date of Delivery,
Date of Steel Cutting,
Date of Delivery to ONESEA,
Date of Launching,
Current Class,Lloyd's Register
Since,
Class Notation,"100A1 ""CONTAINER SHIP"" SHIPRIGHT(SDA,FDA,CM)IWS LMC ,UMS,SCM"
Class ID,
Previous Class,
Class Notation,
Period,
Earlier Class,
Period,
Build Class,
Ice Class Category (Y/N),
Ice Class Category   ,
Recent Drydock Period,
Shipyard,
City,
Country,
Earlier Drydock Period,
Shipyard,
City,
Country,
Earlier Drydock Period,
Shipyard,
City,
Country,
Next Drydock Date,
Special Survey Due Date,
Last Special Survey Date,
Is Above Enhanced Special Survey?,
Earlier Special Survey Date,
Earlier Special Survey Date,
Annual Survey Due Date,
Last Annual Survey Date,
Earlier Annual Survey Date,
Earlier Annual Survey Date,
Earlier Annual Survey Date,
CAP Rating,
Continuous Machinery Rating,
Name Of Ship,ONE Altas
LR/IMO No.,9290115
Official No.,
Port of Registration/Home Port,Cyprus
Flag,Singapore
Registration Date,
Owner,Seaspan
Registered Owner Identification Number,
Vessel Manager,
Vessel Lane Operator,
Vessel MSC Code,
Fleet,
Class/Group,Lloyd's Register
Active,
ASSIGNED CLUB,
P&I Club Details,
Previous Names,CSCL New York
Date of Name Change,
Earlier Name,
Date of Name Change,
Earlier Name,
Date of Name Change,
Previous Port Of Registry,
Previous Flag,
Call Sign,
MMSI,
Ship's Email ID 1,
Attachment Possible 1,
Ship's Email ID 2,
Attachment Possible 2,
Phone No. on Bridge,
Master Cellphone No.,
Vessel FBB/Communication No.,
GVA TEL:,
INMARSAT V-SAT,
INMARSAT V-SAT,
INMARSAT V-SAT,
INMARSAT Mobile No. (IMN) SATCOM C1,
INMARSAT Mobile No. (IMN) SATCOM C2,
INMARSAT MOBILE NUMBER (IMN) SATCOM SSAS,
Brand & Type SATCOM C1,
International Radio License Date of Expiry,
Superintendent,
Tel/Extension,
Mobile No,
Email,
Technical Manager,
Tel/Extension,
Mobile No,
Email,
Gross Tonnage,39941
Net Tonnage,24458
Panama GRT,
Panama NRT,
Suez GRT,
Suez NRT,
Panama UMS Tonnage,
Type of Vessel for Freeboard Calculation,
Summer Draft,
Summer Freeboard,
Summer Displacement,
Summer DWT(Latest),50793.7
Summer DWT(Original),
Winter Draft,
Winter Freeboard,
Winter Displacement,
Winter DWT,
Tropical Draft,
Tropical Freeboard,
Lightship Draft,
Freshwater Draft,
Tropical Displacement,
Tropical DWT,
Ballast Draft,6.116
Ballast Displacement,27050.2
Ballast DWT,
FWA at Scantling Draft,
Minimum Emerging Propeller Aft Draft,
Area Cargo Holds Coated,
Area Ballast Tanks Coated,
"If Ballast Tank Coated, to What Extent?",
Condition of Ballast Tank Coating?,
Bottom Area,
Side Area AF,
Stern Area AF,
Rudder Area,46.095
Freeboard Area,
When was hull last painted?,
When is next hull painting planned?,
Is Hull silicon painted?,
Paint Maker,
Paint Type,
Paint Scheme (period),
Flat Bottom,
Side Bottom,
Top Side,
Main Deck,
Deckhouse Outside,
Ballast Tank,
Cargo Hold,
Engine Room (W&OH),
Engine Room Floor,
FW Tanks,
When was hull last cleaned?,
When is next hull cleaning planned?,
Gear Type (Electric/Hydraulic/Electro-Hydraulic...etc),
Hatch Cover/Pontoon No's,
No of Gears,
Hatch cover type,
Gear Maximum Load,
Hatch Cover Weight,
Gear Outreach Min.,
Gear Outreach Max.,
Lashing Equipment Provided,
Cargo Gear Certificate (5 Yearly Load Test) Expiry Date,
Type Of Twistlocks Used (Auto/Semi-Auto/Manual),
No. Of Provision Cranes,
Provision Crane Capacity,
Life Boat (Open/Closed/Partially Open/Free fall.etc),
Is the vessel fitted with side ramp,
Weight of side ramp,
Is the vessel fitted with stem ramp,
Reefer Plug,
Weight of stem ramp,
Is Rescue Boat Separate?,
Sludge Incinerator Installed?,
Sludge Incinerator Flow Rate,
Quantity of 20 feet Spreader Onboard,
Quantity of 40 feet Spreader Onboard,
Has Bulb been Replaced?,
Is bulb replacement Planned?,
Ballast Tanks,
Heating Tank,
Anti-Heeling,
FW Tank,
HFO,
RSFO,
LSFO,
DO,
Gas Oil,
ISMGO,
Lub Oil,
Lub Oil Main Engine Crank Case,
Lub Oil Aux Engine,
Lub Oil Cylinder,
ICPP Sludge Tank,
TOPP Bilge Tank,
Total No. Of LSFO Serv Tanks+Sett lank,
Total No. Of HSFO Serv Tanks-sett Tank,
Can bunker and bum ULSFO?,
Approx. Change over time from HSFO to ULSFO and Comments,
Remarks/ Modification possibility to bum ULSFO and reduce C/D time,
No.Of Ballast Pumps & Capacity,
Bunkering Point (Distance From Midship in Mtr),
Location of Bunkering Point,
Seperate LSFO Feed System,
Anti-Heeling System,
Anti-rolling System,
Stabilizer System,
Cold Ironing System Make,
Cold Ironing System Model,
Is cold ironing conversion planned?,
Ballast Water Treatment Plant,
Scubber Fitted (EGCS)?,
No. 1 Cargo Hold,
Container Capacity 1,
Reefer Capacity 1,
No. 2 Cargo Hold,
Container Capacity 2,
Reefer Capacity 2,
No. 3 Cargo Hold,
Container Capacity 3,
Reefer Capacity 3,
No. 4 Cargo Hold,
Container Capacity 4,
Reefer Capacity 4,
No. 5 Cargo Hold,
Container Capacity 5,
Reefer Capacity 5,
No. 6 Cargo Hold,
Container Capacity 6,
Reefer Capacity 6,
No. 7 Cargo Hold,
Container Capacity 7,
Reefer Capacity 7,
No. 8 Cargo Hold,
Container Capacity 8,
Reefer Capacity 8,
No. 9 Cargo Hold,
Container Capacity 9,
Reefer Capacity 9,
No. 10 Cargo Hold,
Container Capacity 10,
Reefer Capacity 10,
No. 11 Cargo Hold,
Container Capacity 11,
Reefer Capacity 11,
No. 12 Cargo Hold,
Container Capacity 12,
Reefer Capacity 12,
No. 13 Cargo Hold,
Container Capacity 13,
Reefer Capacity 13,
No. 14 Cargo Hold,
Container Capacity 14,
Reefer Capacity 14,
No. 15 Cargo Hold,
Container Capacity 15,
Reefer Capacity 15,
No. 16 Cargo Hold,
Container Capacity 16,
Reefer Capacity 16,
No. 17 Cargo Hold,
Container Capacity 17,
Reefer Capacity 17,
No. 18 Cargo Hold,
Container Capacity 18,
Reefer Capacity 18,
No. 19 Cargo Hold,
Container Capacity 19,
Reefer Capacity 19,
No. 20 Cargo Hold,
Container Capacity 20,
Reefer Capacity 20,
No. of hatches,
Type of hatches,
"Container Capacity in Holds
",
Container Capacity on Deck,
Max. Stack Weight in Holds,
Max. Stack Weight on Deck,
"Container Capacity in Holds
",
Container Capacity on Deck,
Max. Stack Weight in Holds,
Max. Stack Weight on Deck,
"Container Capacity in Holds
",
Container Capacity on Deck,
Max. Stack Weight in Holds,
Max. Stack Weight on Deck,
"Container Capacity in Holds
",
Container Capacity on Deck,
Max. Stack Weight in Holds,
Max. Stack Weight on Deck,
Max. Reefer vessel carrying capacity (Auxiliary Engine only),
Max. Reefer vessel carrying capacity (Auxiliary Engine only - On deck),
Max. Reefer Vessel Carrying Capacity (Including Shaft/Turbo Generator/WHRS) TOTAL,
Max. Reefer vessel carrying capacity (Auxiliary Engine only - In cargo holds),
Max. Reefer vessel carrying capacity (Power Pack only - On deck),
Max. Reefer vessel carrying capacity (Power pack supply only - In cargo holds),
Max. Reefer vessel carrying capacity (power pack and/or Auxiliary engine via C/O system - On deck),
Max. Reefer vessel carrying capacity (power pack and/or Auxiliary engine via C/O system - In Cargo Holds),
Max. Reefer Vessel Carrying Capacity (Auxiliary Engine only) with Thrusters in Operation,
Max. Reefer Vessel Carrying Capacity (Auxiliary Engine only) without Thrusters in Operation,
20? Reefer Capacity in Holds,
20? Reefer Capacity on Deck,
40? Reefer Capacity in Holds,
40? Reefer Capacity on Deck,
45? Reefer Capacity in Holds,
45? Reefer Capacity on Deck,
Reefer monitoring system type on board,
Sockets Type,
Number of Main Engines,1
Main Engine_1 Make,Hyundai Man B&W 
ME-1 Type,8K90MC-C
ME-1 Serial No,AA2072
ME-1 MCR Power,37046.37
ME-1 New MCR Power,
ME-1 MCR RPM,104
ME-1 New MCR RPM,
ME-1 NCR Power,
ME-1 New NCR Power,
ME-1 NCR RPM,
ME-1 New NCR RPM,
ME-1 Excluded MCR Range (%),
ME-1 Min. MCR Load (%),
ME-1 Main Engine Fuel Max Viscosity (500 cSt / 700 cSt),
ME-1 SFOC at NCR,
ME-1 SFOC at New NCR,
ME-1 SFOC at 75% MCR (ISO Corrected),
ME-1 - Fuel Used to determine SFOC,
ME-1 - Max RPM/Main Propeller shaft RPM (When reduction gear is installed between ME & Shaft),
"For MAN Engine-1, Sliding Valves Fitted?",
ME-1 - Electronically Controlled Cylinder Lub,
ME-1 - Is T/C cut-out system installed?,
ME-1 - If T/C cut-out can be reversed?,
ME-1 - Is this Engine Tier III compliant ?,
ME-2 - Is this Engine Tier III compliant ?,
ME-3 - Is this Engine Tier III compliant ?,
ME-4 - Is this Engine Tier III compliant ?,
No of Spare Aux. Blowers Onboard,
ME-1 - Actual NOx emission value,
ME-1 - Waste Heat Recovery System - WHRS Max. Electrical Capacity,
Total FO CONSUMPTION,
Total FO Consumption at New MCR,
Spare Aux. Blowers Onboard,
Pump Mark,
ME-1 TC Make,
ME-1 TC Type,
ME-1 TC No of Unit,
ME-1 TC2 Make,
ME-1 TC2 Type,
ME-1 TC2 No of Unit,
ME-1 TC3 Make,
ME-1 TC3 Type,
ME-1 TC3 No of Unit,
ME-2 TC Make,
ME-2 TC Type,
ME-2 TC No of Unit,
ME-3 TC Make,
ME-3 TC Type,
ME-3 TC No of Unit,
ME-4 TC Make,
ME-4 TC Type,
ME-4 TC No of Unit,
Propeller Retrofitted?,
2nd Propeller Retrofitted?,
Manufacturer Of Propeller,
"If no, is replacement Planned?",
Type Of Propeller (FPP/CPP),FPP
Propeller Material,Ni-Al-Br
Propeller No. of blades,6
Propeller Weight,
Propeller Diameter,7.8
Propeller Hydrodynamic Pitch (For slip Calculation),
If CPP then the pitch at 100% setting,
CPP maximum setting with One ME clutch-in (eco speed),
CPP maximum setting with two MEs clutch-in,
Propeller Boss Cap Fin Fitted,
Spare Propeller,
Location of Spare Propeller,
Number Of Blades On Spare Propeller,
Spare PBCF Available,
Spare PBCF Location,
Charter Party Consumption at Stated Speed (T/day) and Draft,
Charter Party Weather at above Consumption (Beaufort Scale),
"Retrofit, Manufacturer Of Propeller",
"Retrofit, Type Of Propeller (FPP/CPP)",
"Retrofit, Propeller Material",
"Retrofit, Propeller No. of blades",
"Retrofit, Propeller Weight",
"Retrofit, Propeller Diameter",
"Retrofit, Propeller Hydrodynamic Pitch (For slip Calculation)",
"Retrofit, If CPP then the pitch at 100% setting",
"Retrofit, CPP maximum setting with One ME clutch-in (eco speed)",
"Retrofit, CPP maximum setting with two MEs clutch-in",
"Retrofit, Propeller Boss Cap Fin Fitted",
"Retrofit, Propeller silicone painted?",
When was Propeller last cleaned?,
When is next Propeller cleaning planned?,
Draft for Attaining the below Figures,
90% Of Design MCR - Power,
90% Of Design MCR - Speed,
90% Of Design MCR - Consumption,
70% Of Design MCR - Power,
70% Of Design MCR - Speed,
70% Of DESIGN MCR - CONSUMPTION,
60% Of Design MCR - Power,
60% Of DESIGN MCR - SPEED,
60% Of Design MCR - Consumption,
50% Of Design MCR - Power,
50% Of Design MCR - Speed,
50% Of Design MCR - Consumption,
40% Of Design MCR - Power,
40% Of Design MCR - Speed,
40% Of Design MCR - Consumption,
30% Of Design MCR - Power,
30% Of Design MCR - Speed,
30% Of Design MCR - Consumption,
20% Of Design MCR - Power,
20% Of Design MCR - Speed,
20% Of Design MCR - Consumption,
10% Of Design MCR - Power,
10% Of Design MCR - Speed,
10% Of Design MCR - Consumption,
Calorific Value Of Fuel Bumt To Anive At The Below Consumption (Mj/Kg),
Is the vessel retrofitted with new Panama canal requirement?,
Is the vessel Draft increased?,
Is the vessel TEU increased?,
Is the vessel Elongation carried out?,
Is the vessel Deadweight increased?,
Is the vessel retrofitted with Scrubber?,
Is the vessel bow modified?,
"Is the vessel propeller retrofitted, 1st?",
"Is the vessel propeller retrofitted, 2nd?",
Is the main engine derated permanently / Cylinder bore size decreased?,
Is the Main Engine LNG retrofitted?,
Is the Auxiliary Engine LNG retrofitted?,
Is the Turbo charger cut off carried out in Main Engine?,
Is the vessel equipped with Dual Fuel Usage?,
WG/FW Heat exchanger-Design pressure,
WG/Steam Heat exchanger-Design pressure,
WG Expansion tank- Design pressure,
WG circulating pump - Capacity,
