id,imo,created_at,updated_at,created_by_id,updated_by_id,date,day_no,vessel_type,total_hs,total_ls,total_uls,total_fuel,total_hs_co_2,total_ls_co_2,total_uls_co_2,total_co_2,total_me_fuel,total_ae_fuel,total_boiler_fuel,me_hs_co_2,me_ls_co_2,me_uls_co_2,ae_hs_co_2,ae_ls_co_2,ae_uls_co_2,boiler_hs_co_2,boiler_ls_co_2,boiler_uls_co_2,total_me_co_2,total_ae_co_2,total_boiler_co_2,miles_by_gps,steaming_time,total_aux_engine_time,speed_by_log,speed_by_gps,wind_speed,rpm,slip,wind_direction,draft_aft,draft_fwd,displacement,course_at_sea,dwt,attained_cii,current_cii,mean_draft,cii_rating_2019,cii_rating_2020,cii_rating_2021,cii_rating_2022,cii_rating,required_cii
1229263,9200677,,,,,2022-11-11,,Container,0.0,7.2,0.0,7.2,0.0,22.69,0.0,22.69,0.0,4.8,2.4,0.0,0.0,0.0,0.0,15.12,0.0,0.0,7.56,0.0,0.0,15.12,7.56,0.0,15.7,,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.54,10149.0,0.0,68824,,34.42,,,,,,,8.29
1662264,9200677,,,,,2023-01-01,,Container,0.0,45.9,0.0,45.9,0.0,144.63,0.0,144.63,38.5,7.4,0.0,0.0,121.31,0.0,0.0,23.32,0.0,0.0,0.0,0.0,121.31,23.32,0.0,355.0,24.0,24.0,18.08,14.81,5.5,55.4,8.0,30.0,9.7,5.7,41640.0,32.0,68824,5.92,5.92,,,,,,A,8.12
1662265,9200677,,,,,2023-01-02,,Container,0.0,47.6,0.0,47.6,0.0,149.99,0.0,149.99,40.2,7.4,0.0,0.0,126.67,0.0,0.0,23.32,0.0,0.0,0.0,0.0,126.67,23.32,0.0,360.0,24.0,24.0,17.92,15.02,13.5,56.0,7.7,357.0,9.7,5.7,41640.0,32.0,68824,6.05,5.99,,,,,,A,8.12
1662266,9200677,,,,,2023-01-03,,Container,0.0,48.1,0.0,48.1,0.0,151.56,0.0,151.56,40.5,7.6,0.0,0.0,127.62,0.0,0.0,23.95,0.0,0.0,0.0,0.0,127.62,23.95,0.0,351.0,24.0,24.0,17.52,14.64,14.7,54.9,8.2,30.0,9.7,5.7,41640.0,32.0,68824,6.27,6.08,,,,,,A,8.12
1662267,9200677,,,,,2023-01-04,,Container,0.0,46.9,0.0,46.9,0.0,147.78,0.0,147.78,39.6,7.3,0.0,0.0,124.78,0.0,0.0,23.0,0.0,0.0,0.0,0.0,124.78,23.0,0.0,312.0,23.0,24.0,17.04,13.55,23.5,55.7,15.1,20.0,9.7,5.7,41640.0,32.0,68824,6.88,6.26,,,,,,B,8.12
1662268,9200677,,,,,2023-01-05,,Container,0.0,48.6,0.0,48.6,0.0,153.14,0.0,153.14,40.9,7.7,0.0,0.0,128.88,0.0,0.0,24.26,0.0,0.0,0.0,0.0,128.88,24.26,0.0,336.0,24.0,24.0,17.38,14.01,26.4,54.7,11.9,10.0,9.7,5.7,41640.0,32.0,68824,6.62,6.33,,,,,,A,8.12
1662269,9200677,,,,,2023-01-06,,Container,0.0,58.1,0.0,58.1,0.0,183.07,0.0,183.07,50.5,7.6,0.0,0.0,159.13,0.0,0.0,23.95,0.0,0.0,0.0,0.0,159.13,23.95,0.0,383.0,24.0,25.0,18.27,15.94,22.3,59.4,7.7,35.0,9.7,5.7,41640.0,19.0,68824,6.95,6.45,,,,,,B,8.12
1662270,9200677,,,,,2023-01-07,,Container,0.0,40.7,0.0,40.7,0.0,128.25,0.0,128.25,33.2,7.2,0.3,0.0,104.61,0.0,0.0,22.69,0.0,0.0,0.95,0.0,104.61,22.69,0.95,327.0,24.0,24.0,17.2,13.63,15.2,51.1,8.2,60.0,9.7,5.7,41640.0,19.0,68824,5.7,6.34,,,,,,A,8.12
1662271,9200677,,,,,2023-01-08,,Container,0.0,34.9,0.0,34.9,0.0,109.97,0.0,109.97,24.8,7.3,2.8,0.0,78.14,0.0,0.0,23.0,0.0,0.0,8.82,0.0,78.14,23.0,8.82,302.0,24.0,24.0,16.87,12.56,9.5,47.2,8.5,120.0,9.7,5.7,41640.0,294.0,68824,5.29,6.23,,,,,,A,8.12
1662272,9200677,,,,,2023-01-09,,Container,0.0,32.3,0.0,32.3,0.0,101.78,0.0,101.78,23.1,6.9,2.3,0.0,72.79,0.0,0.0,21.74,0.0,0.0,7.25,0.0,72.79,21.74,7.25,278.0,22.0,24.0,7.84,6.32,3.1,23.15,3.05,20.0,9.7,5.7,41640.0,111.0,68824,5.32,6.14,,,,,,A,8.12
