"id","paint_id","created_at","updated_at","created_by_id","updated_by_id","paint_name","paint_makers","service_period_years","claimed_speed_loss","claimed_speed_loss_per_year","grade","claimed_fuel_savings","created_user","updated_user","created_time","updated_time"
1,"NIAS1",NULL,NULL,NULL,NULL,"AL-F-SEA 150","Nippon",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
2,"NIAS2",NULL,NULL,NULL,NULL,"AL-F-SEA 150/250","Nippon",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
3,"CMSLF",NULL,NULL,NULL,NULL,"Seaflo Neo SL low friction","Choguku Marine Paints",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
4,"CMS6H",NULL,NULL,NULL,NULL,"Seagrandrix 660HS","Choguku Marine Paints",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
5,"CMSNZ",NULL,NULL,NULL,NULL,"Seaflo Neo SL Z","Choguku Marine Paints",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
6,"CMS8H",NULL,NULL,NULL,NULL,"Seagrand  880 HS","Choguku Marine Paints",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
7,"NIEBZ",NULL,NULL,NULL,NULL,"ECOLOFLEX SPC200 BROWN Z","Nippon",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
8,"NIEBR",NULL,NULL,NULL,NULL,"Ecoloflex BRPWNZ-95/70","Nippon",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
9,"HEG70",NULL,NULL,NULL,NULL,"Globic 7000","Hempel",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
10,"HEG80",NULL,NULL,NULL,NULL,"Globic 8000","Hempel",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
11,"HEG90",NULL,NULL,NULL,NULL,"Globic 9000","Hempel",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
12,"HEG95",NULL,NULL,NULL,NULL,"Globic 9500M","Hempel",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
13,"HEHX7",NULL,NULL,NULL,NULL,"Hempel X7","Hempel",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
14,"HEGX7",NULL,NULL,NULL,NULL,"Hempguard X7","Hempel",5,1.5,0.6,NULL,NULL,NULL,NULL,NULL,NULL
15,"ANI70",NULL,NULL,NULL,NULL,"Intercept 7000"," Akzonobel Paint",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
16,"ANI85",NULL,NULL,NULL,NULL,"Intercept 8500"," Akzonobel Paint",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
17,"ANI11",NULL,NULL,NULL,NULL,"Intersleek 1100SR"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
18,"ANI7S",NULL,NULL,NULL,NULL,"Intersmooth 7465Si"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
19,"ANP70",NULL,NULL,NULL,NULL,"IPC 700 "," Akzonobel Paint",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"ANI7A",NULL,NULL,NULL,NULL,"Intercept 7000 a"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
21,"ANI66",NULL,NULL,NULL,NULL,"Interswift 6600"," Akzonobel Paint",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
22,"ANI68",NULL,NULL,NULL,NULL,"Interswift 6800HS"," Akzonobel Paint",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
23,"ANSI1",NULL,NULL,NULL,NULL,"Silicon Intersleek 1100SR"," Akzonobel Paint",5,5.0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
24,"JNAFP",NULL,NULL,NULL,NULL,"Jotun AF Pro S/Classic","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"JNSMM",NULL,NULL,NULL,NULL,"Jotun Seamate M","Jotun",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
26,"JNSQP",NULL,NULL,NULL,NULL,"Jotun Seaquantum Pro","Jotun",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
27,"JNSQS",NULL,NULL,NULL,NULL,"Jotun Seaquantum Plus S","Jotun",5,5.0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
28,"JNSQU",NULL,NULL,NULL,NULL,"Jotun Seaquantum Pro U","Jotun",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
29,"POPGX",NULL,NULL,NULL,NULL,"PPG P355 Sigma Sailadvance GX ","PPG",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
30,"JNSQC",NULL,NULL,NULL,NULL,"Sea Quantum Classic S","Jotun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"ANIS1",NULL,NULL,NULL,NULL,"IPC silicon 1100SR"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
32,"JNSFS",NULL,NULL,NULL,NULL,"Sea Force Shield","Jotun",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
33,"ANI74",NULL,NULL,NULL,NULL,"Intersmooth 7465"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
34,"ANI7I",NULL,NULL,NULL,NULL,"Intersmooth 7475Si SPC "," Akzonobel Paint",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
35,"NIFSI",NULL,NULL,NULL,NULL,"FASTAR I","Nippon",5,3.0,0.6,NULL,NULL,NULL,NULL,NULL,NULL
36,"NIFXI",NULL,NULL,NULL,NULL,"FASTAR XI","Nippon",5,1.2,0.24,NULL,NULL,NULL,NULL,NULL,NULL
37,"ANI64",NULL,NULL,NULL,NULL,"Interspeed 6400"," Akzonobel Paint",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
38,"ANI76",NULL,NULL,NULL,NULL,"Intersmooth 7476Si"," Akzonobel Paint",5,1.5,0.6,NULL,NULL,NULL,NULL,NULL,NULL
39,"ANI72",NULL,NULL,NULL,NULL,"Intersmooth 7200Si"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
40,"ANI10",NULL,NULL,NULL,NULL,"Intersleek 1001"," Akzonobel Paint",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
41,"ANIHS",NULL,NULL,NULL,NULL,"Intersmooth 7460 HS"," Akzonobel Paint",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
42,"ANIIS",NULL,NULL,NULL,NULL,"Intersleek 700"," Akzonobel Paint",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
43,"ANI69",NULL,NULL,NULL,NULL,"Interswift 6900SI"," Akzonobel Paint",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
44,"ANI62",NULL,NULL,NULL,NULL,"Interspeed 6200"," Akzonobel Paint",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
45,"CMSBP",NULL,NULL,NULL,NULL,"Bioclean Plux/ Flex","Choguku Marine Paints",5,2.5,1.0,NULL,NULL,NULL,NULL,NULL,NULL
46,"CMS1L",NULL,NULL,NULL,NULL,"Seagrandrix 1000L","Choguku Marine Paints",5,33.0,13.2,NULL,NULL,NULL,NULL,NULL,NULL
47,"CMS9L",NULL,NULL,NULL,NULL,"Seagrandrix 950L","Choguku Marine Paints",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
48,"CMSSP",NULL,NULL,NULL,NULL,"Seaflo Neo S Premium","Choguku Marine Paints",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
49,"CMSBC",NULL,NULL,NULL,NULL,"Bioclean","Choguku Marine Paints",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
50,"CMSNP",NULL,NULL,NULL,NULL,"SeaFlo Neo CF Premium","Choguku Marine Paints",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
51,"CMSS9",NULL,NULL,NULL,NULL,"SeaGrandprix 900L","Choguku Marine Paints",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
52,"CMSCZ",NULL,NULL,NULL,NULL,"SeaFlo Neo CF Z","Choguku Marine Paints",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
53,"CMSMK",NULL,NULL,NULL,NULL,"SeaGrandprix MK II","Choguku Marine Paints",5,4.0,1.6,NULL,NULL,NULL,NULL,NULL,NULL
54,"CMSHS",NULL,NULL,NULL,NULL,"Seagrandprix  900 HS","Choguku Marine Paints",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
55,"CMS50",NULL,NULL,NULL,NULL,"Seagrandprix  500","Choguku Marine Paints",5,5.5,2.2,NULL,NULL,NULL,NULL,NULL,NULL
56,"CMS77",NULL,NULL,NULL,NULL,"Seagrandprix  770HS","Choguku Marine Paints",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
57,"CMS66",NULL,NULL,NULL,NULL,"Seagrandprix  660HS","Choguku Marine Paints",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
58,"CMS33",NULL,NULL,NULL,NULL,"Seagrandprix  330HS","Choguku Marine Paints",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
59,"CMS22",NULL,NULL,NULL,NULL,"Seagrandprix  220HS","Choguku Marine Paints",5,5.9,2.36,NULL,NULL,NULL,NULL,NULL,NULL
60,"HEGD9",NULL,NULL,NULL,NULL,"Dynamic 9000","Hempel",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
61,"HEGX3",NULL,NULL,NULL,NULL,"Hempasil X3+","Hempel",5,3.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL
